Locality,Height,Easting,Northing
Litledalsfjellet,441.916,517312.392,8646287.352
Litledalsfjellet,439.509,517296.803,8646239.845
Litledalsfjellet,409.684,517281.215,8646192.337
Litledalsfjellet,396.748,517265.626,8646144.829
Litledalsfjellet,402.843,517250.038,8646097.321
Litledalsfjellet,428.588,517234.449,8646049.813
Litledalsfjellet,440.409,517218.861,8646002.305
Litledalsfjellet,467.411,517206.545,8645953.944
Litledalsfjellet,461.435,517196.944,8645904.874
Litledalsfjellet,445.896,517187.344,8645855.804
Litledalsfjellet,464.928,517177.743,8645806.735
Litledalsfjellet,482.158,517168.361,8645757.631
Litledalsfjellet,470.806,517162.684,8645707.955
Litledalsfjellet,499.507,517157.007,8645658.278
Litledalsfjellet,462.416,517151.329,8645608.601
Litledalsfjellet,465.710,517153.652,8645558.957
Litledalsfjellet,507.207,517159.729,8645509.328
Litledalsfjellet,536.460,517165.806,8645459.698
Litledalsfjellet,532.586,517171.883,8645410.069
Litledalsfjellet,534.230,517177.960,8645360.440
Litledalsfjellet,540.577,517209.247,8645394.061
Litledalsfjellet,540.984,517241.835,8645431.982
Litledalsfjellet,534.879,517274.423,8645469.903
Litledalsfjellet,545.602,517307.012,8645507.824
Litledalsfjellet,549.673,517339.600,8645545.745
Litledalsfjellet,549.171,517372.189,8645583.666
Litledalsfjellet,557.124,517404.777,8645621.587
Litledalsfjellet,556.016,517437.365,8645659.508
Litledalsfjellet,556.234,517474.880,8645692.449
Litledalsfjellet,546.015,517513.157,8645724.618
Litledalsfjellet,546.735,517551.434,8645756.787
Litledalsfjellet,547.646,517589.711,8645788.956
Litledalsfjellet,549.810,517627.989,8645821.125
Litledalsfjellet,551.697,517666.266,8645853.294
Litledalsfjellet,542.775,517704.543,8645885.463
Litledalsfjellet,545.210,517742.820,8645917.633
Litledalsfjellet,537.154,517781.097,8645949.802
Litledalsfjellet,538.224,517819.375,8645981.971
Litledalsfjellet,541.776,517857.652,8646014.140
Litledalsfjellet,533.556,517896.163,8646046.009
Litledalsfjellet,537.377,517936.740,8646075.224
Litledalsfjellet,531.228,517977.316,8646104.439
Litledalsfjellet,539.075,518017.893,8646133.655
Litledalsfjellet,530.202,518058.470,8646162.870
Litledalsfjellet,533.292,518099.046,8646192.085
Litledalsfjellet,528.254,518139.623,8646221.300
Litledalsfjellet,532.162,518180.200,8646250.516
Litledalsfjellet,524.063,518220.777,8646279.731
Litledalsfjellet,537.956,518261.353,8646308.946
Litledalsfjellet,551.013,518301.930,8646338.161
Litledalsfjellet,549.876,518342.507,8646367.377
Litledalsfjellet,554.408,518383.976,8646395.193
Litledalsfjellet,538.399,518427.571,8646419.678
Litledalsfjellet,532.010,518471.165,8646444.162
Litledalsfjellet,547.877,518514.760,8646468.647
Litledalsfjellet,559.738,518558.355,8646493.132
Litledalsfjellet,560.413,518601.950,8646517.616
Litledalsfjellet,561.082,518645.544,8646542.101
Litledalsfjellet,544.789,518689.139,8646566.586
Litledalsfjellet,528.152,518733.576,8646589.280
Litledalsfjellet,533.836,518780.243,8646607.228
Litledalsfjellet,557.437,518826.910,8646625.177
Litledalsfjellet,566.242,518873.578,8646643.126
Litledalsfjellet,567.406,518920.245,8646661.075
Litledalsfjellet,565.573,518966.912,8646679.024
Litledalsfjellet,534.960,519013.579,8646696.973
Litledalsfjellet,523.259,519060.100,8646715.296
Litledalsfjellet,549.930,519106.524,8646733.865
Litledalsfjellet,569.111,519152.948,8646752.435
Litledalsfjellet,567.029,519199.372,8646771.004
Litledalsfjellet,531.636,519245.796,8646789.574
Litledalsfjellet,506.197,519292.219,8646808.143
Litledalsfjellet,533.257,519338.643,8646826.713
Litledalsfjellet,556.001,519385.067,8646845.282
Litledalsfjellet,574.675,519431.491,8646863.852
Litledalsfjellet,578.487,519477.915,8646882.421
Litledalsfjellet,584.354,519524.670,8646900.073
Litledalsfjellet,585.602,519572.264,8646915.394
Litledalsfjellet,590.371,519619.859,8646930.716
Litledalsfjellet,582.193,519667.453,8646946.037
Litledalsfjellet,578.284,519715.048,8646961.359
Litledalsfjellet,578.991,519762.643,8646976.681
Litledalsfjellet,573.405,519810.237,8646992.002
Litledalsfjellet,565.107,519857.832,8647007.324
Litledalsfjellet,568.505,519905.427,8647022.645
Litledalsfjellet,565.301,519953.021,8647037.967
Litledalsfjellet,567.349,520000.616,8647053.288
Litledalsfjellet,555.835,520048.211,8647068.610
Litledalsfjellet,551.421,520095.805,8647083.931
Litledalsfjellet,550.836,520143.400,8647099.253
Litledalsfjellet,513.877,520190.994,8647114.575
Litledalsfjellet,521.640,520237.057,8647133.716
Litledalsfjellet,510.993,520282.043,8647155.538
Litledalsfjellet,506.308,520327.030,8647177.360
Litledalsfjellet,507.289,520372.017,8647199.182
Litledalsfjellet,508.104,520417.003,8647221.004
Litledalsfjellet,508.999,520461.990,8647242.825
Litledalsfjellet,502.061,520506.977,8647264.647
Litledalsfjellet,506.000,520551.964,8647286.469
Litledalsfjellet,508.251,520596.950,8647308.291
Litledalsfjellet,520.626,520641.937,8647330.113
Litledalsfjellet,522.145,520686.924,8647351.935
Litledalsfjellet,518.815,520731.910,8647373.757
Litledalsfjellet,519.847,520776.897,8647395.579
Litledalsfjellet,523.824,520821.884,8647417.401
Litledalsfjellet,527.424,520867.416,8647437.963
Litledalsfjellet,528.076,520914.114,8647455.831
Litledalsfjellet,534.327,520960.813,8647473.698
Litledalsfjellet,538.335,521007.512,8647491.565
Litledalsfjellet,526.043,521054.210,8647509.432
Litledalsfjellet,531.443,521100.909,8647527.300
Litledalsfjellet,537.834,521147.607,8647545.167
Litledalsfjellet,540.159,521194.306,8647563.034
Litledalsfjellet,547.431,521241.005,8647580.902
Litledalsfjellet,552.196,521287.703,8647598.769
Litledalsfjellet,552.641,521334.402,8647616.636
Litledalsfjellet,551.821,521381.100,8647634.503
Litledalsfjellet,540.239,521429.401,8647645.549
Litledalsfjellet,549.157,521479.171,8647650.335
Litledalsfjellet,552.919,521528.942,8647655.120
Litledalsfjellet,552.403,521578.712,8647659.906
Litledalsfjellet,549.949,521628.483,8647664.691
Litledalsfjellet,544.835,521678.253,8647669.477
Litledalsfjellet,555.645,521728.024,8647674.263
Litledalsfjellet,552.326,521777.794,8647679.048
