Easting,Northing,Height
554247.056,8514010.805,
554278.777,8514046.420,
554313.510,8514082.387,
554348.243,8514118.354,
554382.976,8514154.321,
554420.726,8514186.212,
554465.313,8514208.839,
554509.900,8514231.465,
554554.488,8514254.092,
554599.075,8514276.719,
554643.662,8514299.346,
554688.249,8514321.973,
554732.837,8514344.599,
554771.353,8514372.841,
554790.429,8514419.058,
554809.506,8514465.276,
554828.583,8514511.494,
554847.659,8514557.712,
554866.736,8514603.929,
554885.813,8514650.147,
554898.751,8514697.964,
554904.641,8514747.615,
554910.531,8514797.267,
554916.421,8514846.919,
554922.311,8514896.571,
554928.201,8514946.223,
554934.091,8514995.875,
554939.981,8515045.527,
554945.871,8515095.179,
554950.723,8515144.911,
554952.575,8515194.877,
554954.426,8515244.842,
554956.278,8515294.808,
554958.129,8515344.774,
554959.981,8515394.740,
554961.832,8515444.705,
554963.684,8515494.671,
554965.535,8515544.637,
554967.387,8515594.602,
554969.238,8515644.568,
554971.090,8515694.534,
554964.346,8515743.927,
554955.882,8515793.205,
554947.418,8515842.484,
554938.954,8515891.762,
554930.490,8515941.040,
554910.981,8515984.232,
554873.839,8516017.705,
554836.696,8516051.178,
554799.554,8516084.650,
554762.852,8516118.569,
554728.987,8516155.354,
554695.121,8516192.139,
554669.141,8516234.244,
554647.740,8516279.433,
554626.340,8516324.622,
554604.940,8516369.810,
554583.539,8516414.999,
554562.139,8516460.188,
554540.739,8516505.377,
554519.338,8516550.566,
554497.938,8516595.754,
554476.538,8516640.943,
554455.137,8516686.132,
554433.737,8516731.321,
554412.337,8516776.509,
554390.937,8516821.698,
554369.536,8516866.887,
554348.136,8516912.076,
554326.736,8516957.265,
554305.335,8517002.453,
554283.935,8517047.642,
554264.195,8517093.545,
554246.093,8517140.154,
554227.992,8517186.762,
554209.890,8517233.370,
554199.807,8517280.760,
554208.756,8517329.953,
554217.705,8517379.146,
554226.653,8517428.338,
554235.602,8517477.531,
554244.511,8517526.727,
554243.638,8517576.719,
554242.765,8517626.712,
554241.893,8517676.704,
554241.020,8517726.697,
554240.147,8517776.689,
554232.266,8517825.310,
554214.237,8517871.947,
554196.207,8517918.583,
554178.178,8517965.219,
554160.149,8518011.855,
554142.119,8518058.492,
554124.090,8518105.128,
554091.928,8518142.386,
554055.961,8518177.119,
554019.994,8518211.852,
553984.027,8518246.585,
553948.060,8518281.318,
553912.093,8518316.051,
