NAME,Height,Easting,Northing
Battfjellet Formation,,552782.715,8515016.100
Battfjellet Formation,,552772.903,8515064.729
Battfjellet Formation,,552816.589,8515088.366
Battfjellet Formation,,552861.563,8515109.166
Battfjellet Formation,,552911.492,8515111.823
Battfjellet Formation,,552961.421,8515114.479
Battfjellet Formation,,552945.380,8515111.623
Battfjellet Formation,,552895.450,8515108.967
Battfjellet Formation,,552846.742,8515101.850
Battfjellet Formation,,552802.417,8515078.713
Battfjellet Formation,,552778.461,8515045.647
Battfjellet Formation,,553486.430,8514993.100
Battfjellet Formation,,553467.799,8514947.831
Battfjellet Formation,,553447.449,8514902.160
Battfjellet Formation,,553427.042,8514856.514
Battfjellet Formation,,553406.614,8514810.877
Battfjellet Formation,,553386.186,8514765.241
Battfjellet Formation,,553365.757,8514719.604
Battfjellet Formation,,553345.329,8514673.968
Battfjellet Formation,,553324.901,8514628.332
Battfjellet Formation,,553304.472,8514582.695
Battfjellet Formation,,553286.433,8514536.171
Battfjellet Formation,,553272.106,8514488.268
Battfjellet Formation,,553257.780,8514440.364
Battfjellet Formation,,553243.454,8514392.460
Battfjellet Formation,,553229.127,8514344.557
Battfjellet Formation,,553204.599,8514302.007
Battfjellet Formation,,553173.265,8514263.043
Battfjellet Formation,,553141.931,8514224.080
Battfjellet Formation,,553104.388,8514195.347
Battfjellet Formation,,553055.308,8514185.800
Battfjellet Formation,,553006.228,8514176.253
Battfjellet Formation,,552957.148,8514166.705
Battfjellet Formation,,552908.148,8514156.760
Battfjellet Formation,,552859.172,8514146.689
Battfjellet Formation,,552810.197,8514136.619
Battfjellet Formation,,552762.215,8514137.486
Battfjellet Formation,,552715.921,8514156.377
Battfjellet Formation,,552669.627,8514175.268
Battfjellet Formation,,552628.578,8514199.648
Battfjellet Formation,,552608.083,8514245.254
Battfjellet Formation,,552587.588,8514290.861
Battfjellet Formation,,552568.189,8514336.552
Battfjellet Formation,,552584.926,8514383.668
Battfjellet Formation,,552605.855,8514428.269
Battfjellet Formation,,552639.655,8514465.115
Battfjellet Formation,,552673.454,8514501.960
Battfjellet Formation,,552707.254,8514538.806
Battfjellet Formation,,552741.054,8514575.651
Battfjellet Formation,,552774.853,8514612.497
Battfjellet Formation,,552797.397,8514655.427
Battfjellet Formation,,552809.709,8514703.887
Battfjellet Formation,,552819.828,8514752.602
Battfjellet Formation,,552819.681,8514735.017
Battfjellet Formation,,552807.369,8514686.557
Battfjellet Formation,,552795.057,8514638.096
Battfjellet Formation,,552765.256,8514599.076
Battfjellet Formation,,552731.457,8514562.231
Battfjellet Formation,,552697.657,8514525.386
Battfjellet Formation,,552663.858,8514488.540
Battfjellet Formation,,552630.058,8514451.695
Battfjellet Formation,,552597.796,8514413.924
Battfjellet Formation,,552581.059,8514366.808
Battfjellet Formation,,552576.600,8514320.190
Battfjellet Formation,,552597.095,8514274.584
Battfjellet Formation,,552617.590,8514228.977
Battfjellet Formation,,552642.884,8514188.340
Battfjellet Formation,,552689.178,8514169.450
Battfjellet Formation,,552735.472,8514150.559
Battfjellet Formation,,552781.875,8514132.837
Battfjellet Formation,,552830.850,8514142.907
Battfjellet Formation,,552879.825,8514152.978
Battfjellet Formation,,552928.801,8514163.049
Battfjellet Formation,,552977.846,8514172.769
Battfjellet Formation,,553026.926,8514182.316
Battfjellet Formation,,553076.006,8514191.864
Battfjellet Formation,,553123.393,8514204.218
Battfjellet Formation,,553154.727,8514243.182
Battfjellet Formation,,553186.061,8514282.146
Battfjellet Formation,,553217.395,8514321.110
Battfjellet Formation,,553233.996,8514367.817
Battfjellet Formation,,553248.323,8514415.721
Battfjellet Formation,,553262.649,8514463.624
Battfjellet Formation,,553276.975,8514511.528
Battfjellet Formation,,553291.787,8514559.252
Battfjellet Formation,,553312.215,8514604.888
Battfjellet Formation,,553332.644,8514650.524
Battfjellet Formation,,553353.072,8514696.161
Battfjellet Formation,,553373.500,8514741.797
Battfjellet Formation,,553393.929,8514787.434
Battfjellet Formation,,553414.357,8514833.070
Battfjellet Formation,,553434.785,8514878.707
Battfjellet Formation,,553455.155,8514924.369
Battfjellet Formation,,553475.506,8514970.040
Battfjellet Formation,,539480.560,8591441.215
Battfjellet Formation,,539433.016,8591453.611
Battfjellet Formation,,539384.978,8591467.479
Battfjellet Formation,,539336.940,8591481.347
Battfjellet Formation,,539288.848,8591495.025
Battfjellet Formation,,539240.641,8591508.294
Battfjellet Formation,,539192.434,8591521.563
Battfjellet Formation,,539144.226,8591534.832
Battfjellet Formation,,539096.019,8591548.101
Battfjellet Formation,,539047.812,8591561.370
Battfjellet Formation,,539001.405,8591578.683
Battfjellet Formation,,538959.325,8591605.688
Battfjellet Formation,,538917.245,8591632.692
Battfjellet Formation,,538875.164,8591659.697
Battfjellet Formation,,538833.084,8591686.702
Battfjellet Formation,,538791.004,8591713.707
Battfjellet Formation,,538748.924,8591740.711
Battfjellet Formation,,538706.844,8591767.716
Battfjellet Formation,,538664.763,8591794.721
Battfjellet Formation,,538622.683,8591821.726
Battfjellet Formation,,538584.292,8591853.210
Battfjellet Formation,,538549.742,8591889.352
Battfjellet Formation,,538515.192,8591925.495
Battfjellet Formation,,538480.642,8591961.638
Battfjellet Formation,,538446.092,8591997.780
Battfjellet Formation,,538411.542,8592033.923
Battfjellet Formation,,538415.605,8592057.134
Battfjellet Formation,,538465.232,8592063.236
Battfjellet Formation,,538514.858,8592069.337
