Easting,Northing,Height
545783.720,8570807.808,
545803.096,8570761.716,
545822.473,8570715.623,
545865.268,8570705.454,
545915.260,8570706.327,
545965.253,8570707.199,
545995.782,8570732.960,
546008.676,8570781.268,
546021.571,8570829.577,
546033.982,8570878.010,
546036.832,8570881.194,
546024.487,8570832.744,
546011.592,8570784.435,
545998.697,8570736.126,
545971.894,8570705.315,
545921.901,8570704.442,
545871.909,8570703.570,
545824.174,8570706.416,
545804.797,8570752.508,
545785.421,8570798.601,
545766.044,8570844.694,
548309.379,8566027.977,
548262.550,8566025.160,
548212.557,8566024.287,
548163.107,8566030.083,
548113.914,8566039.031,
548088.595,8566071.582,
548080.661,8566120.949,
548072.728,8566170.315,
548079.659,8566218.755,
548093.737,8566266.732,
548100.897,8566284.028,
548086.819,8566236.051,
548072.740,8566188.074,
548079.825,8566138.761,
548087.758,8566089.394,
548099.438,8566043.698,
548148.631,8566034.749,
548197.843,8566026.030,
548247.835,8566026.903,
548297.827,8566027.776,
550630.105,8569466.231,
550627.566,8569514.585,
550626.693,8569564.578,
550625.821,8569614.570,
550624.948,8569664.562,
550624.075,8569714.555,
550623.203,8569764.547,
550621.027,8569814.409,
550611.947,8569863.577,
550602.868,8569912.746,
550593.789,8569961.915,
550584.709,8570011.084,
550568.870,8570042.488,
550529.399,8570011.795,
550492.986,8569978.417,
550467.662,8569935.304,
550442.339,8569892.192,
550417.015,8569849.079,
550391.691,8569805.966,
550401.271,8569826.226,
550426.595,8569869.338,
550451.919,8569912.451,
550477.243,8569955.563,
550505.722,8569995.916,
550545.192,8570026.609,
550580.544,8570044.656,
550589.623,8569995.487,
550598.702,8569946.319,
550607.782,8569897.150,
550616.861,8569847.981,
550624.607,8569798.678,
550625.480,8569748.686,
550626.353,8569698.693,
550627.225,8569648.701,
550628.098,8569598.709,
550628.971,8569548.716,
550629.843,8569498.724,
543505.560,8576455.055,
543462.992,8576478.870,
543420.136,8576504.626,
543377.280,8576530.382,
543341.048,8576563.120,
543313.157,8576604.619,
543285.266,8576646.117,
543257.375,8576687.615,
543229.484,8576729.113,
543201.593,8576770.611,
543173.702,8576812.109,
543145.811,8576853.607,
543114.333,8576885.017,
543066.504,8576870.444,
543018.674,8576855.871,
543035.282,8576863.022,
543083.111,8576877.595,
543128.070,8576883.588,
543155.961,8576842.090,
543183.852,8576800.592,
543211.743,8576759.094,
543239.634,8576717.596,
543267.525,8576676.098,
543295.416,8576634.600,
543323.307,8576593.102,
543351.198,8576551.604,
543392.110,8576523.803,
543434.966,8576498.047,
543477.822,8576472.291,
549010.147,8577499.650,
549056.299,8577516.350,
549103.755,8577532.094,
549151.212,8577547.838,
549198.725,8577563.370,
549247.701,8577573.441,
549296.676,8577583.511,
549344.368,8577595.498,
549372.322,8577636.954,
549400.276,8577678.410,
549390.676,8577724.662,
549354.896,8577755.475,
549310.945,8577779.315,
549266.994,8577803.154,
549283.327,8577796.571,
549327.277,8577772.731,
549371.228,8577748.892,
549397.884,8577710.244,
549394.073,8577665.634,
549366.119,8577624.179,
549333.836,8577589.111,
549284.860,8577579.040,
549235.885,8577568.969,
549187.235,8577557.682,
549139.779,8577541.938,
549092.322,8577526.194,
549044.866,8577510.449,
546578.560,8597498.479,405.761
546623.029,8597520.872,417.038
546667.937,8597542.856,424.867
546712.845,8597564.841,431.264
546757.752,8597586.825,436.020
546802.660,8597608.809,438.798
546847.568,8597630.793,446.116
546890.471,8597655.904,444.841
546929.199,8597687.529,447.147
546967.928,8597719.153,453.068
547006.657,8597750.777,459.243
547045.385,8597782.401,457.412
547084.114,8597814.026,460.577
547122.842,8597845.650,457.967
547161.571,8597877.274,461.390
547200.299,8597908.899,458.948
547239.028,8597940.523,464.673
547277.757,8597972.147,464.804
547316.485,8598003.772,457.441
547355.214,8598035.396,444.406
547393.942,8598067.020,433.964
547428.175,8598102.900,445.508
547457.630,8598143.304,440.735
547487.085,8598183.707,453.724
547516.540,8598224.110,446.972
547545.994,8598264.513,446.718
547575.449,8598304.916,436.525
547604.904,8598345.320,439.331
547634.359,8598385.723,429.344
547663.813,8598426.126,428.867
547693.268,8598466.529,418.837
547722.723,8598506.932,423.501
547752.178,8598547.335,418.570
547781.632,8598587.739,426.926
547811.087,8598628.142,428.771
547840.542,8598668.545,444.011
547869.997,8598708.948,445.162
547899.451,8598749.351,422.004
547892.546,8598736.484,422.004
547863.091,8598696.081,445.162
547833.636,8598655.678,444.011
547804.182,8598615.274,436.385
547774.727,8598574.871,426.926
547745.272,8598534.468,425.639
547715.817,8598494.065,423.501
547686.363,8598453.662,430.841
547656.908,8598413.259,428.867
547627.453,8598372.855,436.833
547597.998,8598332.452,439.331
547568.544,8598292.049,455.105
547539.089,8598251.646,446.718
547509.634,8598211.243,459.114
547480.179,8598170.840,453.724
547450.725,8598130.436,440.735
547421.270,8598090.033,445.508
547384.400,8598056.646,444.223
547345.671,8598025.022,450.504
547306.943,8597993.398,465.197
547268.214,8597961.773,464.570
547229.486,8597930.149,466.912
547190.757,8597898.525,458.948
547152.029,8597866.900,455.909
547113.300,8597835.276,457.967
547074.571,8597803.652,455.396
547035.843,8597772.027,457.412
546997.114,8597740.403,450.898
546958.386,8597708.779,446.124
546919.657,8597677.154,447.147
546880.929,8597645.530,441.569
546836.328,8597623.064,440.919
546791.420,8597601.080,438.798
546746.513,8597579.096,436.053
546701.605,8597557.112,431.520
546656.697,8597535.127,424.867
546611.790,8597513.143,417.038
550695.371,8595518.100,599.529
550739.411,8595494.466,601.484
550788.844,8595493.036,602.129
550838.836,8595493.909,602.616
550853.991,8595541.379,602.677
550868.972,8595589.082,606.021
550877.683,8595637.691,607.810
550876.810,8595687.683,606.066
550877.998,8595737.487,602.922
550887.991,8595786.478,601.637
550897.984,8595835.469,595.901
550912.964,8595883.016,601.730
550934.402,8595926.763,609.862
550976.821,8595953.232,617.074
550990.272,8595959.268,611.859
550947.853,8595932.798,616.180
550919.551,8595894.725,607.588
550902.534,8595847.770,595.901
550892.541,8595798.779,597.885
550882.548,8595749.788,602.922
550878.591,8595700.240,605.033
550879.464,8595650.248,607.433
550874.826,8595601.047,605.213
550859.845,8595553.344,604.265
550844.864,8595505.641,602.616
550804.731,8595491.313,602.921
550754.738,8595490.441,601.898
550709.324,8595508.432,597.711
551531.551,8598768.100,588.606
551521.454,8598724.895,595.561
551564.305,8598703.704,577.386
551611.099,8598686.086,575.847
551657.892,8598668.469,573.573
551657.362,8598666.532,573.573
551610.569,8598684.149,575.847
551563.775,8598701.766,577.386
551520.082,8598722.293,595.561
551529.647,8598766.242,581.565
553192.825,8605078.951,535.157
553190.286,8605127.305,548.437
553182.906,8605176.645,597.621
553173.826,8605225.813,574.984
553131.726,8605234.594,560.437
553081.734,8605233.721,559.104
553031.741,8605232.849,552.045
552984.772,8605220.100,559.820
552940.448,8605196.963,563.794
552896.124,8605173.825,554.671
552851.799,8605150.687,554.576
552832.770,8605106.373,580.573
552817.789,8605058.670,593.726
552802.808,8605010.967,601.110
552787.827,8604963.264,595.394
552784.026,8604913.947,589.474
552781.970,8604917.117,589.474
552786.686,8604966.307,595.394
552801.667,8605014.010,601.110
552816.648,8605061.713,593.726
552831.629,8605109.416,580.573
552851.715,8605152.899,554.576
552896.040,8605176.037,554.671
552940.364,8605199.175,563.794
552984.688,8605222.313,559.820
553031.724,8605234.849,552.045
553081.716,8605235.721,559.104
553131.709,8605236.594,560.437
553175.234,8605229.200,574.984
553184.314,8605180.032,597.621
553192.226,8605130.745,564.554
553193.099,8605080.753,535.157
551123.990,8622901.005,601.350
551155.789,8622939.277,613.882
551188.211,8622977.341,622.534
551220.632,8623015.404,625.161
551253.054,8623053.468,629.394
551285.476,8623091.531,639.852
551317.898,8623129.595,631.627
551350.319,8623167.658,626.369
551382.741,8623205.722,631.999
551415.163,8623243.785,623.094
551447.585,8623281.849,627.267
551480.006,8623319.912,620.390
551512.428,8623357.976,615.020
551543.784,8623396.908,616.117
551574.487,8623436.370,601.831
551605.191,8623475.833,610.193
551635.894,8623515.295,605.671
551666.598,8623554.758,618.577
551697.301,8623594.220,617.013
551728.005,8623633.683,628.012
551758.709,8623673.145,623.356
551789.412,8623712.608,634.351
551820.116,8623752.070,631.708
551850.819,8623791.533,634.951
551881.523,8623830.995,644.880
551912.347,8623870.356,642.262
551945.975,8623907.359,643.548
551979.602,8623944.362,652.949
552013.230,8623981.364,654.312
552046.857,8624018.367,655.326
552080.485,8624055.369,661.385
552114.112,8624092.372,662.935
552147.740,8624129.374,666.763
552184.443,8624163.183,669.690
552222.692,8624195.385,673.229
552260.942,8624227.587,676.277
552299.191,8624259.790,678.789
552337.441,8624291.992,677.645
552375.690,8624324.194,680.954
552413.940,8624356.396,683.127
552452.189,8624388.598,687.340
552490.439,8624420.800,687.573
552528.688,8624453.002,688.500
552566.938,8624485.204,691.883
552605.187,8624517.406,696.016
552643.437,8624549.608,699.235
552656.249,8624593.378,711.327
552655.376,8624643.370,722.332
552654.504,8624693.362,739.312
552656.493,8624693.973,739.312
552657.366,8624643.981,722.332
552658.239,8624593.989,711.327
552646.571,8624549.633,699.235
552608.322,8624517.431,696.016
552570.072,8624485.228,692.213
552531.823,8624453.026,689.811
552493.573,8624420.824,687.573
552455.324,8624388.622,687.340
552417.074,8624356.420,683.127
552378.824,8624324.218,680.954
