Easting,Northing,Height
549650.946,8560547.128,
549611.131,8560518.134,
549570.019,8560489.678,
549528.906,8560461.221,
549487.794,8560432.764,
549468.035,8560388.580,
549453.054,8560340.877,
549438.073,8560293.174,
549423.092,8560245.472,
549432.545,8560196.675,
549443.205,8560147.825,
549488.915,8560143.284,
549538.908,8560144.157,
549588.900,8560145.030,
549638.892,8560145.902,
549688.885,8560146.775,
549738.877,8560147.647,
549788.870,8560148.520,
549838.862,8560149.393,
549888.854,8560150.265,
549938.847,8560151.138,
549988.839,8560152.010,
550038.832,8560152.883,
550088.824,8560153.756,
550138.816,8560154.628,
550188.809,8560155.501,
550238.801,8560156.374,
550272.438,8560182.705,
550294.015,8560227.810,
550298.411,8560276.656,
550297.538,8560326.648,
550296.665,8560376.640,
550295.793,8560426.633,
550294.920,8560476.625,
550294.047,8560526.618,
550295.978,8560530.631,
550296.850,8560480.638,
550297.723,8560430.646,
550298.596,8560380.653,
550299.468,8560330.661,
550300.341,8560280.669,
550297.938,8560231.377,
550276.361,8560186.272,
550246.085,8560154.500,
550196.093,8560153.628,
550146.100,8560152.755,
550096.108,8560151.883,
550046.115,8560151.010,
549996.123,8560150.137,
549946.131,8560149.265,
549896.138,8560148.392,
549846.146,8560147.519,
549796.153,8560146.647,
549746.161,8560145.774,
549696.169,8560144.902,
549646.176,8560144.029,
549596.184,8560143.156,
549546.192,8560142.284,
549496.199,8560141.411,
549446.207,8560140.538,
549432.777,8560186.228,
549422.117,8560235.079,
549432.777,8560282.988,
549447.759,8560330.691,
549462.740,8560378.394,
549477.721,8560426.097,
549517.367,8560455.666,
549558.479,8560484.123,
549599.592,8560512.580,
549640.704,8560541.037,
547494.805,8566233.269,
547447.912,8566234.702,
547399.502,8566224.582,
547351.501,8566210.586,
547303.499,8566196.591,
547255.498,8566182.595,
547207.391,8566169.014,
547158.541,8566158.355,
547110.229,8566149.276,
547091.180,8566193.740,
547112.757,8566238.845,
547134.333,8566283.950,
547150.076,8566330.667,
547156.185,8566374.533,
547151.531,8566324.750,
547133.959,8566278.532,
547112.382,8566233.428,
547092.091,8566188.345,
547118.837,8566151.738,
547167.687,8566162.398,
547216.476,8566173.300,
547264.477,8566187.296,
547312.478,8566201.292,
547360.480,8566215.288,
547408.481,8566229.283,
547457.254,8566236.023,
547188.463,8566676.334,
547147.442,8566699.098,
547104.797,8566725.202,
547076.015,8566760.893,
547066.936,8566810.062,
547077.064,8566766.230,
547103.002,8566728.646,
547145.647,8566702.542,
547188.292,8566676.439,
546583.127,8566793.100,
546600.298,8566746.439,
546627.004,8566713.784,
546676.996,8566714.656,
546726.988,8566715.529,
546776.981,8566716.402,
546826.973,8566717.274,
546853.268,8566755.034,
546870.721,8566786.883,
546849.144,8566741.778,
546815.611,8566715.076,
546765.619,8566714.203,
546715.627,8566713.330,
546665.634,8566712.458,
546615.642,8566711.585,
546595.513,8566753.989,
548805.560,8563275.341,
548763.738,8563248.220,
548721.535,8563221.407,
548679.333,8563194.593,
548640.522,8563163.119,
548602.030,8563131.208,
548569.850,8563094.782,
548552.093,8563048.041,
548539.608,8563001.815,
548566.078,8562959.396,
548592.547,8562916.977,
548636.843,8562907.367,
548686.836,8562908.240,
548736.828,8562909.113,
548786.787,8562910.470,
548836.413,8562916.572,
548886.039,8562922.673,
548868.343,8562918.482,
548818.716,8562912.381,
548768.992,8562907.674,
548719.000,8562906.801,
548669.008,8562905.929,
548619.015,8562905.056,
548582.534,8562929.245,
548556.065,8562971.664,
548537.368,8563014.910,
548555.124,8563061.651,
548572.881,8563108.392,
548610.575,8563140.890,
548649.067,8563172.801,
548688.815,8563202.987,
548731.017,8563229.801,
548773.220,8563256.614,
551079.261,8567167.978,
551035.115,8567159.058,
550985.332,8567163.711,
550935.549,8567168.365,
550885.766,8567173.018,
550835.983,8567177.672,
550787.857,8567183.821,
550837.568,8567179.532,
550887.351,8567174.879,
550937.134,8567170.226,
550986.917,8567165.572,
551036.700,8567160.919,
552380.007,8562391.206,
551727.669,8560850.374,
551748.921,8560805.924,
551769.416,8560760.318,
551789.911,8560714.711,
551810.406,8560669.105,
551837.449,8560633.815,
551887.441,8560634.688,
551937.434,8560635.560,
551987.426,8560636.433,
552024.677,8560669.304,
552061.586,8560703.035,
552098.495,8560736.765,
552135.404,8560770.496,
552172.312,8560804.226,
552209.221,8560837.956,
552246.130,8560871.687,
552283.039,8560905.417,
552319.948,8560939.147,
552362.161,8560965.305,
552406.485,8560988.442,
552450.809,8561011.580,
552495.134,8561034.718,
552538.510,8561059.252,
552576.356,8561091.927,
552614.203,8561124.602,
552652.049,8561157.276,
552689.896,8561189.951,
552727.742,8561222.626,
552765.589,8561255.300,
552787.152,8561299.115,
552803.888,8561346.230,
552820.625,8561393.346,
552832.269,8561441.294,
552831.397,8561491.286,
552830.524,8561541.278,
552833.314,8561496.057,
552834.186,8561446.065,
552824.336,8561397.819,
552807.599,8561350.703,
552790.863,8561303.587,
552771.817,8561258.036,
552733.971,8561225.361,
552696.124,8561192.686,
552658.278,8561160.011,
552620.431,8561127.337,
552582.585,8561094.662,
552544.738,8561061.987,
552502.233,8561036.168,
552457.909,8561013.030,
552413.585,8560989.892,
552369.260,8560966.755,
552326.055,8560942.019,
552289.146,8560908.289,
552252.237,8560874.558,
552215.328,8560840.828,
552178.419,8560807.098,
552141.510,8560773.367,
552104.602,8560739.637,
552067.693,8560705.906,
552030.784,8560672.176,
551993.875,8560638.446,
551945.388,8560633.699,
551895.396,8560632.826,
551845.403,8560631.954,
551812.845,8560658.798,
551792.350,8560704.404,
551771.855,8560750.011,
551751.360,8560795.617,
551730.865,8560841.224,
557038.748,8567193.100,
557033.228,8567144.104,
557026.489,8567094.560,
557019.750,8567045.016,
557013.011,8566995.472,
556996.521,8566948.648,
556976.629,8566902.775,
556956.736,8566856.903,
556936.843,8566811.030,
556934.467,8566761.682,
556962.100,8566731.697,
557009.803,8566716.716,
557058.761,8566710.424,
557098.063,8566724.507,
557109.341,8566773.219,
557120.620,8566821.930,
557128.694,8566871.211,
557134.900,8566920.824,
557141.106,8566970.438,
557147.312,8567020.051,
557154.049,8567069.555,
557168.127,8567117.532,
557182.206,8567165.509,
557196.284,8567213.486,
557210.363,8567261.463,
557224.441,8567309.440,
557242.075,8567356.147,
557261.581,8567402.185,
557281.088,8567448.223,
557273.455,8567488.730,
557235.669,8567520.008,
557186.678,8567530.002,
557137.687,8567539.995,
557088.819,8567545.970,
557130.841,8567543.432,
557179.832,8567533.439,
557228.824,8567523.446,
557268.700,8567496.103,
557287.266,8567457.677,
557267.759,8567411.639,
557248.253,8567365.601,
557229.425,8567319.320,
557215.347,8567271.343,
557201.268,8567223.366,
557187.189,8567175.389,
557173.111,8567127.412,
557159.032,8567079.435,
557150.608,8567030.283,
557144.402,8566980.670,
557138.196,8566931.056,
557131.990,8566881.443,
557124.997,8566831.969,
557113.719,8566783.258,
557102.440,8566734.547,
557072.443,8566708.663,
557022.842,8566710.525,
556975.139,8566725.506,
556932.764,8566744.670,
556931.891,8566794.663,
556947.805,8566841.334,
556967.697,8566887.207,
556987.590,8566933.079,
557007.483,8566978.952,
557015.438,8567028.156,
557022.177,8567077.700,
557028.917,8567127.243,
557035.656,8567176.787,
555971.275,8568477.724,
555987.128,8568525.019,
556003.393,8568572.300,
556019.657,8568619.581,
556030.393,8568668.053,
556035.047,8568717.836,
556039.700,8568767.619,
556018.019,8568804.798,
555976.329,8568832.401,
555943.144,8568856.771,
555984.835,8568829.168,
556026.525,8568801.565,
556041.077,8568760.855,
556036.423,8568711.072,
556031.770,8568661.289,
556019.555,8568613.134,
556003.290,8568565.853,
555987.026,8568518.573,
550904.206,8575241.100,
550924.014,8575285.825,
550945.591,8575330.930,
550938.268,8575310.987,
550916.691,8575265.882,
544489.952,8571696.716,
544480.724,8571709.421,
554018.042,8577825.152,
554024.253,8577779.007,
554025.125,8577729.014,
554025.998,8577679.022,
554048.316,8577636.596,
554079.009,8577597.126,
554126.427,8577601.605,
554175.596,8577610.685,
554224.765,8577619.764,
554268.588,8577640.995,
554308.506,8577671.104,
554344.346,8577703.202,
554343.474,8577753.194,
554342.601,8577803.186,
554344.972,8577852.620,
554362.728,8577899.360,
554380.485,8577946.101,
554399.489,8577992.272,
554423.237,8578036.272,
554446.986,8578080.272,
554457.329,8578095.224,
554433.580,8578051.224,
554409.831,8578007.224,
554388.678,8577962.037,
554370.921,8577915.296,
554353.165,8577868.555,
554344.303,8577820.262,
554345.176,8577770.269,
554346.048,8577720.277,
554324.879,8577680.949,
554284.961,8577650.839,
554244.728,8577621.417,
554195.559,8577612.337,
554146.391,8577603.258,
554097.222,8577594.179,
554060.385,8577617.817,
554029.692,8577657.287,
554023.536,8577705.442,
554022.664,8577755.434,
554021.791,8577805.427,
550758.773,8574186.473,
550795.824,8574219.085,
550834.074,8574251.287,
550836.810,8574289.704,
550830.891,8574303.927,
550849.392,8574261.569,
550811.143,8574229.367,
550772.893,8574197.165,
528072.017,8586791.837,
528076.479,8586841.233,
528094.221,8586885.447,
528127.599,8586922.675,
528160.977,8586959.903,
528194.355,8586997.131,
528221.277,8587039.104,
528246.848,8587082.071,
528272.420,8587125.037,
528297.992,8587168.003,
528322.916,8587211.315,
528344.493,8587256.420,
528379.078,8587277.757,
528428.622,8587271.017,
528478.166,8587264.278,
528501.316,8587221.052,
528523.058,8587176.027,
528545.129,8587131.167,
528568.267,8587086.843,
528588.761,8587041.833,
528589.634,8586991.840,
528561.166,8586954.251,
528524.591,8586920.159,
528487.120,8586887.153,
528446.665,8586857.770,
528406.211,8586828.386,
528366.015,8586798.648,
528323.202,8586774.924,
528273.920,8586766.965,
528223.928,8586766.093,
528173.935,8586765.220,
528125.545,8586776.792,
528077.410,8586790.321,
528116.113,8586781.520,
528164.248,8586767.991,
528214.119,8586767.922,
528264.111,8586768.794,
528313.550,8586775.176,
528357.970,8586795.176,
528398.144,8586824.944,
528438.572,8586854.363,
528479.027,8586883.747,
528517.152,8586915.959,
528553.727,8586950.051,
528587.749,8586985.227,
528586.876,8587035.219,
528569.108,8587080.910,
528545.970,8587125.235,
528523.740,8587170.015,
528501.998,8587215.040,
528480.256,8587260.066,
528431.974,8587268.543,
528382.430,8587275.282,
528346.704,8587256.407,
528325.127,8587211.303,
528300.285,8587167.946,
528274.713,8587124.980,
528249.142,8587082.013,
528223.570,8587039.047,
528196.854,8586996.922,
528163.476,8586959.694,
528130.098,8586922.466,
528096.720,8586885.238,
528078.494,8586841.263,
553903.560,8586424.902,
553939.329,8586459.723,
553975.369,8586494.380,
554007.014,8586532.692,
554034.524,8586574.444,
554062.034,8586616.195,
554089.544,8586657.947,
554111.286,8586701.374,
554110.413,8586751.366,
554106.560,8586800.681,
554111.729,8586790.560,
554112.602,8586740.567,
554113.401,8586690.584,
554085.921,8586648.815,
554058.412,8586607.063,
554030.902,8586565.311,
554003.392,8586523.559,
553970.143,8586486.579,
553934.103,8586451.923,
552480.560,8586193.183,
552431.132,8586191.338,
552381.140,8586190.465,
552332.119,8586181.966,
552283.507,8586170.269,
552253.202,8586130.730,
552234.044,8586108.524,
552264.048,8586148.521,
552301.835,8586176.736,
552350.448,8586188.433,
552399.997,8586192.795,
552449.989,8586193.667,
549985.562,8590602.860,
550031.684,8590620.325,
550078.835,8590636.962,
550125.986,8590653.599,
550173.137,8590670.236,
550170.097,8590667.042,
550122.946,8590650.406,
550075.795,8590633.769,
550028.644,8590617.132,
550378.560,8590678.696,
550425.375,8590663.994,
550472.656,8590647.729,
550519.936,8590631.465,
550567.217,8590615.200,
550615.662,8590606.292,
550665.654,8590607.165,
550715.647,8590608.037,
550765.639,8590608.910,
550815.079,8590610.882,
550845.627,8590650.465,
550866.797,8590692.817,
550848.959,8590651.509,
550818.411,8590611.926,
550770.389,8590606.993,
550720.397,8590606.120,
550670.404,8590605.247,
550620.412,8590604.375,
550571.687,8590611.547,
550524.407,8590627.812,
550477.126,8590644.076,
550429.845,8590660.341,
550382.565,8590676.605,
544405.560,8592990.460,
544391.366,8593035.720,
544378.395,8593084.008,
544365.423,8593132.296,
544352.452,8593180.584,
544339.480,8593228.872,
544304.287,8593258.688,
544259.182,8593280.264,
544214.077,8593301.841,
544168.972,8593323.418,
544123.288,8593340.256,
544074.313,8593330.185,
544025.337,8593320.114,
543976.362,8593310.044,
543927.387,8593299.973,
543878.411,8593289.902,
543830.725,8593296.888,
543783.852,8593314.293,
543736.979,8593331.697,
543690.106,8593349.102,
543643.233,8593366.506,
543596.360,8593383.911,
543549.487,8593401.315,
543502.614,8593418.720,
543458.629,8593423.426,
543423.896,8593387.459,
543389.163,8593351.492,
543354.430,8593315.525,
543334.505,8593273.725,
543335.377,8593223.733,
543336.250,8593173.740,
543337.123,8593123.748,
543337.995,8593073.756,
543337.905,8593023.775,
543335.840,8592973.817,
543332.837,8592949.592,
543334.902,8592999.549,
543336.418,8593049.513,
543335.545,8593099.506,
543334.673,8593149.498,
543333.800,8593199.490,
543332.928,8593249.483,
543335.056,8593298.341,
543369.789,8593334.308,
543404.522,8593370.275,
543439.255,8593406.242,
543476.796,8593430.440,
543523.669,8593413.035,
543570.542,8593395.631,
543617.415,8593378.226,
543664.288,8593360.822,
543711.162,8593343.417,
543758.035,8593326.012,
543804.908,8593308.608,
543851.781,8593291.203,
543900.388,8593296.463,
543949.363,8593306.534,
